Repository,File Name,Class,Start Line,End Line,Displacement,Level
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple Atributte,36,36,43,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple Assignment,5,5,0,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple Assignment,9,9,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple Assignment,10,10,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple Assignment,11,11,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple Assignment,19,19,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple Assignment,36,36,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple Assignment,37,37,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Assigment with sum (total = total + 1),42,42,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple Assignment,43,43,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple Assignment,28,28,3,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple Assignment,29,29,3,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple Assignment,33,33,3,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple Assignment,35,35,32,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple Assignment,14,14,4,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,From,1,1,0,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,From,2,2,0,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple If statements,27,34,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple If statements,35,35,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple If statements,40,41,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple If statements,13,15,3,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple If statements,18,18,3,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple For Loop,12,15,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple For Loop,17,18,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Function with Simple argument with Default argument with ** argument,8,19,1,B1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Function with Simple argument,20,21,1,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Function with Simple argument,22,23,1,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Function with Simple argument,26,37,1,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Function with Simple argument,39,44,1,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Lambda,29,29,34,B1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Return,21,21,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Return,23,23,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Return,44,44,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Return,41,41,3,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Simple Class  Using the constructor method --> __init__,7,23,0,B1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_after_1.py,Inherited Class from Listing,25,44,0,B1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,If statements expression (else),19,19,19,B1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,5,5,11,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,9,9,2,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,20,20,2,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,21,21,2,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,24,24,2,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,32,32,28,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,12,12,3,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,16,16,3,A2
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Atributte,19,19,19,A2
