CommitHash,ProjectName,AuthorID,AuthorDateFormat,Level,After,Before,Difference
a52b7884c7d59e5fe549f78704102217710e28a2,pydriller,38cd935f,20200405,A1,163,157,6
a52b7884c7d59e5fe549f78704102217710e28a2,pydriller,38cd935f,20200405,A2,232,230,2
a52b7884c7d59e5fe549f78704102217710e28a2,pydriller,38cd935f,20200405,B1,15,15,0
a52b7884c7d59e5fe549f78704102217710e28a2,pydriller,38cd935f,20200405,C1,3,3,0
